Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,Fraction,ml,Injection,
3.302,-38.72316,6.596,14.52775,,,,,
3.317,-38.68803,6.626,14.52863,,,,,
3.331,-38.71338,6.655,14.52981,,,,,
3.346,-38.73441,6.684,14.53091,,,,,
3.361,-38.69832,6.713,14.53188,,,,,
3.375,-38.70148,6.743,14.53274,,,,,
3.39,-38.68962,6.772,14.53359,,,,,
3.405,-38.67793,6.801,14.5347,,,,,
3.419,-38.66208,6.831,14.53542,,,,,
3.434,-38.74497,6.86,14.5362,,,,,
3.449,-38.83246,6.889,14.53703,,,,,
3.463,-38.87518,6.918,14.53759,,,,,
3.478,-38.89402,6.948,14.53792,,,,,
3.492,-38.91747,6.977,14.53801,,,,,
3.507,-38.92078,7.006,14.53806,,,,,
3.522,-38.91084,7.036,14.53847,,,,,
3.536,-38.90722,7.065,14.53859,,,,,
3.551,-38.90639,7.094,14.53942,,,,,
3.566,-38.99383,7.123,14.5402,,,,,
3.58,-38.97864,7.153,14.54101,,,,,
3.595,-38.96944,7.182,14.54158,,,,,
3.61,-38.96601,7.211,14.54213,,,,,
3.624,-38.97329,7.241,14.54278,,,,,
3.639,-39.04799,7.27,14.54326,,,,,
3.654,-38.99402,7.299,14.54348,,,,,
3.668,-38.91279,7.328,14.5434,,,,,
3.683,-38.92876,7.358,14.54367,,,,,
3.697,-38.97762,7.387,14.54432,,,,,
3.712,-39.04374,7.416,14.54534,,,,,
3.727,-39.10359,7.445,14.54621,,,,,
3.741,-39.09086,7.475,14.54672,,,,,
3.756,-39.10866,7.504,14.54709,,,,,
3.771,-39.13236,7.533,14.54734,,,,,
3.785,-39.13843,7.563,14.54769,,,,,
3.8,-39.18732,7.592,14.54805,,,,,
3.815,-39.16983,7.621,14.54881,,,,,
3.829,-39.1731,7.65,14.54965,,,,,
3.844,-39.11002,7.68,14.55071,,,,,
3.859,-39.00565,7.709,14.55186,,,,,
3.873,-39.01237,7.738,14.55289,,,,,
3.888,-39.04447,7.768,14.55402,,,,,
3.902,-39.02905,7.797,14.55454,,,,,
3.917,-38.99733,7.826,14.55531,,,,,
3.932,-38.99572,7.855,14.55653,,,,,
3.946,-39.02458,7.885,14.55714,,,,,
3.961,-39.0603,7.914,14.55768,,,,,
3.976,-39.01551,7.943,14.5584,,,,,
3.99,-39.02983,7.973,14.55916,,,,,
4.005,-39.05523,8.002,14.55987,,,,,
4.02,-39.04187,8.031,14.56039,,,,,
4.034,-39.04902,8.06,14.56096,,,,,
4.049,-39.11194,8.09,14.56134,,,,,
4.064,-39.17775,8.119,14.56189,,,,,
4.078,-39.21962,8.148,14.5623,,,,,
4.093,-39.27221,8.178,14.56268,,,,,
4.107,-39.28838,8.207,14.56326,,,,,
4.122,-39.27559,8.236,14.56399,,,,,
4.137,-39.28075,8.265,14.56472,,,,,
4.151,-34.38612,8.295,14.56564,,,,,
4.166,-31.45049,8.324,14.56595,,,,,
4.181,-29.30098,8.353,14.56652,,,,,
4.195,-27.65973,8.383,14.56703,,,,,
4.21,-26.41862,8.412,14.56757,,,,,
4.225,-25.4293,8.441,14.56804,,,,,
4.239,-24.95041,8.47,14.56818,,,,,
4.254,-24.86389,8.5,14.56815,,,,,
4.269,-25.0676,8.529,14.56849,,,,,
4.283,-25.71476,8.558,14.56859,,,,,
4.298,-26.35755,8.588,14.569,,,,,
4.312,-26.96769,8.617,14.56949,,,,,
4.327,-27.50193,8.646,14.56979,,,,,
4.342,-28.02505,8.675,14.57002,,,,,
4.356,-28.48146,8.705,14.57062,,,,,
4.371,-28.93262,8.734,14.57191,,,,,
4.386,-29.37732,8.763,14.57302,,,,,
4.4,-29.81536,8.793,14.57413,,,,,
4.415,-30.26206,8.822,14.57522,,,,,
4.43,-30.64168,8.851,14.57584,,,,,
4.444,-30.98894,8.88,14.57617,,,,,
4.459,-31.32466,8.91,14.57627,,,,,
4.474,-31.64682,8.939,14.57622,,,,,
4.488,-31.85903,8.968,14.57644,,,,,
4.503,-32.13586,8.997,14.57714,,,,,
4.517,-32.33063,9.027,14.57757,,,,,
4.532,-32.58955,9.056,14.57783,,,,,
4.547,-32.81398,9.085,14.57817,,,,,
4.561,-33.03353,9.115,14.57849,,,,,
4.576,-33.22948,9.144,14.57874,,,,,
4.591,-33.30649,9.173,14.57908,,,,,
4.605,-33.35802,9.202,14.57971,,,,,
4.62,-33.41429,9.232,14.58034,,,,,
4.635,-33.49332,9.261,14.58063,,,,,
4.649,-33.47213,9.29,14.58149,,,,,
4.664,-33.49749,9.32,14.58253,,,,,
4.679,-33.54169,9.349,14.58301,,,,,
4.693,-33.50287,9.378,14.58324,,,,,
4.708,-33.4941,9.407,14.5836,,,,,
4.722,-33.47048,9.437,14.58413,,,,,
4.737,-33.43657,9.466,14.58491,,,,,
4.752,-33.42281,9.495,14.58586,,,,,
4.766,-33.37448,9.525,14.58659,,,,,
4.781,-33.3112,9.554,14.58767,,,,,
4.796,-33.23031,9.583,14.58832,,,,,
4.81,-33.09788,9.612,14.58894,,,,,
4.825,-32.93826,9.642,14.58935,,,,,
4.84,-32.85121,9.671,14.58924,,,,,
4.854,-32.72872,9.7,14.58931,,,,,
4.869,-32.61208,9.73,14.58959,,,,,
4.883,-32.45634,9.759,14.58967,,,,,
4.898,-32.18027,9.788,14.58938,,,,,
4.913,-31.94408,9.817,14.5894,,,,,
4.927,-31.70647,9.847,14.58932,,,,,
4.942,-31.4404,9.876,14.58897,,,,,
4.957,-31.23542,9.905,14.58861,,,,,
4.971,-30.98905,9.935,14.58861,,,,,
4.986,-30.69472,9.964,14.58887,,,,,
5.001,-30.45681,9.993,14.58898,,,,,
5.015,-30.22497,10.022,14.58893,,,,,
5.03,-30.01626,10.052,14.58813,,,,,
5.045,-29.75974,10.081,14.58745,,,,,
5.059,-29.47165,10.11,14.58693,,,,,
5.074,-29.2504,10.14,14.58645,,,,,
5.088,-29.01951,10.169,14.58632,,,,,
5.103,-28.7362,10.198,14.58648,,,,,
5.118,-28.44779,10.227,14.58655,,,,,
5.132,-28.17838,10.257,14.58659,,,,,
5.147,-27.93014,10.286,14.58727,,,,,
5.162,-27.63484,10.315,14.58804,,,,,
5.176,-27.3722,10.345,14.58879,,,,,
5.191,-27.09035,10.374,14.58949,,,,,
5.206,-26.80856,10.403,14.5899,,,,,
5.22,-26.61178,10.432,14.58956,,,,,
5.235,-26.32529,10.462,14.58927,,,,,
5.25,-26.14523,10.491,14.58967,,,,,
5.264,-25.89345,10.52,14.59013,,,,,
5.279,-25.62293,10.55,14.59028,,,,,
5.293,-25.40799,10.579,14.59033,,,,,
5.308,-25.18186,10.608,14.59029,,,,,
5.323,-24.90982,10.637,14.59023,,,,,
5.337,-24.64897,10.667,14.59081,,,,,
5.352,-24.38578,10.696,14.59108,,,,,
5.367,-24.08931,10.725,14.59208,,,,,
5.381,-23.79305,10.754,14.59309,,,,,
5.396,-23.51354,10.784,14.59379,,,,,
5.411,-23.24825,10.813,14.59453,,,,,
5.425,-22.92846,10.842,14.59538,,,,,
5.44,-22.65797,10.872,14.59601,,,,,
5.455,-22.29644,10.901,14.59624,,,,,
5.469,-22.06278,10.93,14.59649,,,,,
5.484,-21.77545,10.959,14.59697,,,,,
5.498,-21.58902,10.989,14.59719,,,,,
5.513,-21.36783,11.018,14.59817,,,,,
5.528,-21.12396,11.047,14.59926,,,,,
5.542,-20.94559,11.077,14.6002,,,,,
5.557,-20.7267,11.106,14.60085,,,,,
5.572,-20.48947,11.135,14.60096,,,,,
5.586,-20.24752,11.164,14.60117,,,,,
5.601,-20.02988,11.194,14.60125,,,,,
5.616,-19.85651,11.223,14.6014,,,,,
5.63,-19.68455,11.252,14.60192,,,,,
5.645,-19.45423,11.282,14.6025,,,,,
5.66,-19.26639,11.311,14.603,,,,,
5.674,-19.09336,11.34,14.60329,,,,,
5.689,-18.92112,11.369,14.60324,,,,,
5.703,-18.80228,11.399,14.60312,,,,,
5.718,-18.66961,11.428,14.60286,,,,,
5.733,-18.48494,11.457,14.60309,,,,,
5.747,-18.33866,11.487,14.60322,,,,,
5.762,-18.20028,11.516,14.6032,,,,,
5.777,-18.07479,11.545,14.60297,,,,,
5.791,-17.97974,11.574,14.60269,,,,,
5.806,-17.85379,11.604,14.60264,,,,,
5.821,-17.71729,11.633,14.60295,,,,,
5.835,-17.60386,11.662,14.60333,,,,,
5.85,-17.48261,11.692,14.60356,,,,,
5.865,-17.36878,11.721,14.60356,,,,,
5.879,-17.2706,11.75,14.6032,,,,,
5.894,-17.1863,11.779,14.6029,,,,,
5.908,-17.0832,11.809,14.60288,,,,,
5.923,-16.97375,11.838,14.60303,,,,,
5.938,-16.92302,11.867,14.60323,,,,,
5.952,-16.77351,11.897,14.60371,,,,,
5.967,-16.55482,11.926,14.60375,,,,,
5.982,-16.38056,11.955,14.60388,,,,,
5.996,-16.17407,11.984,14.60435,,,,,
6.011,-15.9346,12.014,14.60421,,,,,
6.026,-15.69387,12.043,14.60372,,,,,
6.04,-15.46607,12.072,14.60369,,,,,
6.055,-15.2465,12.102,14.60419,,,,,
6.069,-15.03484,12.131,14.60434,,,,,
6.084,-14.85044,12.16,14.60457,,,,,
6.099,-14.67568,12.189,14.60472,,,,,
6.113,-14.51042,12.219,14.60517,,,,,
6.128,-14.34289,12.248,14.60575,,,,,
6.143,-14.13571,12.277,14.60627,,,,,
6.157,-13.91311,12.307,14.60657,,,,,
6.172,-13.70053,12.336,14.6067,,,,,
6.187,-13.48442,12.365,14.60695,,,,,
6.201,-13.2384,12.394,14.60732,,,,,
6.216,-13.05902,12.424,14.60694,,,,,
6.231,-12.87406,12.453,14.60686,,,,,
6.245,-12.64975,12.482,14.6068,,,,,
6.26,-12.46055,12.511,14.60665,,,,,
6.274,-12.2852,12.541,14.60614,,,,,
6.289,-12.13984,12.57,14.6053,,,,,
6.304,-12.00603,12.599,14.60515,,,,,
6.318,-11.80553,12.629,14.6061,,,,,
6.333,-11.60695,12.658,14.60684,,,,,
6.348,-11.36854,12.687,14.60716,,,,,
6.362,-11.13484,12.716,14.60697,,,,,
6.377,-10.92724,12.746,14.60679,,,,,
