Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Conc B,,Fraction,,Injection,,
ml,mAU,ml,%,ml,Fraction,ml,Injection,
1.562,62.08416,7.796,0,,,,,
1.566,62.088,7.819,0,,,,,
1.571,62.08685,7.843,0,,,,,
1.576,62.0929,7.866,0,,,,,
1.58,62.09292,7.89,0,,,,,
1.585,62.09837,7.913,0,,,,,
1.59,62.10521,7.936,0,,,,,
1.594,62.11777,7.96,0,,,,,
1.599,62.11662,7.983,0,,,,,
1.604,62.1133,8.006,0,,,,,
1.609,62.11595,8.03,0,,,,,
1.613,62.12098,8.053,0,,,,,
1.618,62.12273,8.077,0,,,,,
1.623,62.13503,8.1,0,,,,,
1.627,62.13991,8.123,0,,,,,
1.632,62.13996,8.147,0,,,,,
1.637,62.14241,8.17,0,,,,,
1.641,62.14951,8.193,0,,,,,
1.646,62.15813,8.217,0,,,,,
1.651,62.17616,8.24,0,,,,,
1.655,62.17817,8.264,0,,,,,
1.66,62.19294,8.287,0,,,,,
1.665,62.19556,8.31,0,,,,,
1.669,62.19381,8.334,0,,,,,
1.674,62.20354,8.357,0,,,,,
1.679,62.21555,8.381,0,,,,,
1.683,62.21802,8.404,0,,,,,
1.688,62.22592,8.427,0,,,,,
1.693,62.22529,8.451,0,,,,,
1.697,62.22888,8.474,0,,,,,
1.702,62.23298,8.497,0,,,,,
1.707,62.2382,8.521,0,,,,,
1.711,62.24539,8.544,0,,,,,
1.716,62.25197,8.568,0,,,,,
1.721,62.25476,8.591,0,,,,,
1.725,62.26057,8.614,0,,,,,
1.73,62.26995,8.638,0,,,,,
1.735,62.2682,8.661,0,,,,,
1.739,62.26488,8.685,0,,,,,
1.744,62.26572,8.708,0,,,,,
1.749,62.26512,8.731,0,,,,,
1.753,62.27436,8.755,0,,,,,
1.758,62.28436,8.778,0,,,,,
1.763,62.28247,8.801,0,,,,,
1.768,62.2959,8.825,0,,,,,
1.772,62.29854,8.848,0,,,,,
1.777,62.29263,8.872,0,,,,,
1.782,62.295,8.895,0,,,,,
1.786,62.28767,8.918,0,,,,,
1.791,62.29316,8.942,0,,,,,
1.796,62.29642,8.965,0,,,,,
1.8,62.29741,8.988,0,,,,,
1.805,62.30003,9.012,0,,,,,
1.81,62.29652,9.035,0,,,,,
1.814,62.2911,9.059,0,,,,,
1.819,62.29651,9.082,0,,,,,
1.824,62.28957,9.105,0,,,,,
1.828,62.27886,9.129,0,,,,,
1.833,62.27679,9.152,0,,,,,
1.838,62.28313,9.176,0,,,,,
1.842,62.28551,9.199,0,,,,,
1.847,62.28577,9.222,0,,,,,
1.852,62.29009,9.246,0,,,,,
1.856,62.28379,9.269,0,,,,,
1.861,62.28245,9.292,0,,,,,
1.866,62.27572,9.316,0,,,,,
1.87,62.27421,9.339,0,,,,,
1.875,62.27411,9.363,0,,,,,
1.88,62.27977,9.386,0,,,,,
1.884,62.28878,9.409,0,,,,,
1.889,62.29172,9.433,0,,,,,
1.894,62.29668,9.456,0,,,,,
1.898,62.30249,9.48,0,,,,,
1.903,62.30156,9.503,0,,,,,
1.908,62.30762,9.526,0,,,,,
1.912,62.32374,9.55,0,,,,,
1.917,62.32827,9.573,0,,,,,
1.922,62.33915,9.596,0,,,,,
1.927,62.35198,9.62,0,,,,,
1.931,62.35884,9.643,0,,,,,
1.936,62.36161,9.667,0,,,,,
1.941,62.37082,9.69,0,,,,,
1.945,62.38592,9.713,0,,,,,
1.95,62.38981,9.737,0,,,,,
1.955,62.40324,9.76,0,,,,,
1.959,62.41109,9.783,0,,,,,
1.964,62.42422,9.807,0,,,,,
1.969,62.44158,9.83,0,,,,,
1.973,62.45923,9.854,0,,,,,
1.978,62.46777,9.877,0,,,,,
1.983,62.48127,9.9,0,,,,,
1.987,62.49111,9.924,0,,,,,
1.992,62.49648,9.947,0,,,,,
1.997,62.50566,9.971,0,,,,,
2.001,62.52393,9.994,0,,,,,
2.006,62.54452,10.017,0,,,,,
2.011,62.55688,10.041,0,,,,,
2.015,62.56408,10.064,0,,,,,
2.02,62.57795,10.087,0,,,,,
2.025,62.59499,10.111,0,,,,,
2.029,62.61976,10.134,0,,,,,
2.034,62.64151,10.158,0,,,,,
2.039,62.65685,10.181,0,,,,,
2.043,62.66528,10.204,0,,,,,
2.048,62.68551,10.228,0,,,,,
2.053,62.70411,10.251,0,,,,,
2.057,62.72189,10.275,0,,,,,
2.062,62.74804,10.298,0,,,,,
2.067,62.77294,10.321,0,,,,,
2.071,62.79703,10.345,0,,,,,
2.076,62.82247,10.368,0,,,,,
2.081,62.84224,10.391,0,,,,,
2.086,62.86072,10.415,0,,,,,
2.09,62.88707,10.438,0,,,,,
2.095,62.90828,10.462,0,,,,,
2.1,62.92624,10.485,0,,,,,
2.104,62.93746,10.508,0,,,,,
2.109,62.94985,10.532,0,,,,,
2.114,62.96635,10.555,0,,,,,
2.118,62.98302,10.578,0,,,,,
2.123,62.98865,10.602,0,,,,,
2.128,62.99439,10.625,0,,,,,
2.132,63.00145,10.649,0,,,,,
2.137,63.00605,10.672,0,,,,,
2.142,63.01997,10.695,0,,,,,
2.146,63.01862,10.719,0,,,,,
2.151,63.01788,10.742,0,,,,,
2.156,63.01302,10.766,0,,,,,
2.16,63.0187,10.789,0,,,,,
2.165,63.01518,10.812,0,,,,,
2.17,63.00206,10.836,0,,,,,
2.174,62.98433,10.859,0,,,,,
2.179,62.98605,10.882,0,,,,,
2.184,62.97994,10.906,0,,,,,
2.188,62.97013,10.929,0,,,,,
2.193,62.958,10.953,0,,,,,
2.198,62.94132,10.976,0,,,,,
2.202,62.93385,10.999,0,,,,,
2.207,62.92384,11.023,0,,,,,
2.212,62.91395,11.046,0,,,,,
2.216,62.89432,11.07,0,,,,,
2.221,62.89015,11.093,0,,,,,
2.226,62.8909,11.116,0,,,,,
2.23,62.87232,11.14,0,,,,,
2.235,62.86871,11.163,0,,,,,
2.24,62.85935,11.186,0,,,,,
2.245,62.85116,11.21,0,,,,,
2.249,62.85145,11.233,0,,,,,
2.254,62.85249,11.257,0,,,,,
2.259,62.82989,11.28,0,,,,,
2.263,62.81439,11.303,0,,,,,
2.268,62.80551,11.327,0,,,,,
2.273,62.79866,11.35,0,,,,,
2.277,62.78325,11.374,0,,,,,
2.282,62.76579,11.397,0,,,,,
2.287,62.75917,11.42,0,,,,,
2.291,62.75118,11.444,0,,,,,
2.296,62.7448,11.467,0,,,,,
2.301,62.73466,11.49,0,,,,,
2.305,62.7285,11.514,0,,,,,
2.31,62.71996,11.537,0,,,,,
2.315,62.71798,11.561,0,,,,,
2.319,62.72095,11.584,0,,,,,
2.324,62.70956,11.607,0,,,,,
2.329,62.69965,11.631,0,,,,,
2.333,62.69347,11.654,0,,,,,
2.338,62.68968,11.677,0,,,,,
2.343,62.67854,11.701,0,,,,,
2.347,62.66144,11.724,0,,,,,
2.352,62.64901,11.748,0,,,,,
2.357,62.64937,11.771,0,,,,,
2.361,62.64524,11.794,0,,,,,
2.366,62.63332,11.818,0,,,,,
2.371,62.62614,11.841,0,,,,,
2.375,62.62721,11.865,0,,,,,
2.38,62.62878,11.888,0,,,,,
2.385,62.62768,11.911,0,,,,,
2.389,62.62429,11.935,0,,,,,
2.394,62.62282,11.958,0,,,,,
2.399,62.6241,11.981,0,,,,,
2.404,62.61428,12.005,0,,,,,
2.408,62.60904,12.028,0,,,,,
2.413,62.60793,12.052,0,,,,,
2.418,62.60231,12.075,0,,,,,
2.422,62.58443,12.098,0,,,,,
2.427,62.58514,12.122,0,,,,,
2.432,62.5841,12.145,0,,,,,
2.436,62.58367,12.169,0,,,,,
2.441,62.58363,12.192,0,,,,,
2.446,62.58963,12.215,0,,,,,
2.45,62.59449,12.239,0,,,,,
2.455,62.58897,12.262,0,,,,,
2.46,62.58792,12.285,0,,,,,
2.464,62.59132,12.309,0,,,,,
2.469,62.59968,12.332,0,,,,,
2.474,62.60696,12.356,0,,,,,
2.478,62.60674,12.379,0,,,,,
2.483,62.60572,12.402,0,,,,,
2.488,62.60839,12.426,0,,,,,
2.492,62.61156,12.449,0,,,,,
2.497,62.61415,12.472,0,,,,,
2.502,62.61316,12.496,0,,,,,
2.506,62.62713,12.519,0,,,,,
2.511,62.62885,12.543,0,,,,,
2.516,62.63746,12.566,0,,,,,
2.52,62.64712,12.589,0,,,,,
2.525,62.65884,12.613,0,,,,,
2.53,62.65656,12.636,0,,,,,
2.534,62.65075,12.66,0,,,,,
2.539,62.64727,12.683,0,,,,,
2.544,62.65031,12.706,0,,,,,
2.548,62.65492,12.73,0,,,,,
2.553,62.66069,12.753,0,,,,,
2.558,62.66202,12.776,0,,,,,
2.562,62.66086,12.8,0,,,,,
2.567,62.65491,12.823,0,,,,,
2.572,62.65314,12.847,0,,,,,
2.577,62.64521,12.87,0,,,,,
2.581,62.6423,12.893,0,,,,,
2.586,62.64898,12.917,0,,,,,
2.591,62.64503,12.94,0,,,,,
2.595,62.64206,12.964,0,,,,,
2.6,62.64608,12.987,0,,,,,
2.605,62.64751,13.01,0,,,,,
2.609,62.64705,13.034,0,,,,,
2.614,62.63745,13.057,0,,,,,
2.619,62.63311,13.08,0,,,,,
2.623,62.62625,13.104,0,,,,,
2.628,62.62553,13.127,0,,,,,
2.633,62.62844,13.151,0,,,,,
2.637,62.62938,13.174,0,,,,,
2.642,62.62626,13.197,0,,,,,
2.647,62.62231,13.221,0,,,,,
2.651,62.62482,13.244,0,,,,,
2.656,62.62229,13.267,0,,,,,
2.661,62.62699,13.291,0,,,,,
2.665,62.63366,13.314,0,,,,,
2.67,62.62488,13.338,0,,,,,
2.675,62.63212,13.361,0,,,,,
2.679,62.63418,13.384,0,,,,,
2.684,62.62799,13.408,0,,,,,
2.689,62.62918,13.431,0,,,,,
2.693,62.63117,13.455,0,,,,,
2.698,62.63408,13.478,0,,,,,
2.703,62.63096,13.501,0,,,,,
2.707,62.62605,13.525,0,,,,,
2.712,62.6298,13.548,0,,,,,
2.717,62.63292,13.571,0,,,,,
2.721,62.63137,13.595,0,,,,,
2.726,62.63362,13.618,0,,,,,
2.731,62.63792,13.642,0,,,,,
2.736,62.64485,13.665,0,,,,,
